N	F0	PER	d0	v0	collision
10	-6	0.260000	8.057000	26	1
9	-1	0.850000	8.846000	69	1
4	-4	0.310000	7.027000	17	0
3	-3	0.750000	4.259000	38	0
10	-6	0.200000	4.910000	65	1
5	-7	0.420000	8.543000	56	0
7	-3	0.010000	4.311000	59	0
6	-6	0.230000	7.754000	38	0
6	-6	0.550000	8.077000	79	1
4	-4	0.010000	8.742000	26	0
7	-8	0.950000	5.984000	87	1
10	-6	0.900000	4.117000	74	1
8	-3	0.300000	7.238000	54	0
5	-5	0.930000	7.183000	19	1
7	-2	0.060000	7.312000	35	0
4	-5	0.430000	6.761000	76	0
8	-7	0.270000	8.013000	83	0
10	-6	0.650000	7.497000	85	1
3	-7	0.780000	5.122000	61	0
3	-6	0.470000	7.839000	85	0
9	-6	0.760000	4.029000	44	1
6	-5	0.060000	8.636000	49	0
10	-2	0.120000	5.969000	85	1
6	-6	0.260000	6.168000	22	0
8	-2	0.580000	8.947000	22	0
3	-8	0.610000	6.982000	46	0
5	-8	0.390000	8.167000	45	0
5	-6	0.550000	6.556000	57	0
5	-4	0.160000	5.751000	26	0
3	-5	0.670000	6.461000	21	0
3	-3	0.890000	5.071000	52	1
9	-4	0.370000	6.649000	45	0
9	-5	0.310000	6.197000	55	1
6	-7	0.920000	7.920000	65	1
8	-5	0.140000	6.547000	56	0
10	-3	0.180000	5.474000	86	1
9	-4	0.890000	6.584000	76	1
8	-2	0.000e+000	5.795000	86	0
6	-5	0.030000	6.363000	31	0
4	-8	0.850000	6.669000	71	1
7	-8	0.250000	7.273000	10	0
4	-8	0.730000	8.675000	33	0
8	-6	0.680000	6.812000	60	1
9	-8	0.290000	8.513000	30	0
3	-7	0.050000	8.593000	51	0
7	-4	0.180000	6.221000	27	0
8	-2	0.840000	4.593000	79	1
9	-4	0.040000	7.293000	63	0
5	-7	0.950000	5.904000	26	1
8	-2	0.750000	5.511000	71	1
10	-7	0.770000	6.230000	27	1
3	-4	0.250000	5.307000	60	0
3	-2	0.970000	8.914000	51	1
3	-3	0.950000	5.521000	45	1
9	-4	0.430000	4.600000	38	1
3	-4	0.210000	5.793000	77	0
8	-6	0.430000	4.415000	67	1
6	-3	0.450000	7.632000	63	0
4	-2	0.810000	8.905000	69	1
4	-8	0.110000	8.491000	74	0
4	-5	0.480000	5.658000	47	0
3	-3	0.850000	7.847000	60	1
9	-8	0.830000	6.907000	53	1
9	-4	0.370000	6.055000	15	0
6	-5	0.800000	5.602000	25	0
4	-2	0.820000	6.314000	60	1
10	-2	0.720000	4.415000	80	1
7	-5	0.020000	6.527000	85	0
3	-8	0.740000	7.452000	64	0
6	-6	0.960000	8.593000	15	1
6	-4	0.180000	7.179000	85	0
8	-7	0.260000	7.959000	88	0
10	-3	0.130000	4.938000	50	1
3	-2	0.440000	7.064000	15	0
6	-2	0.070000	7.181000	71	0
10	-2	0.390000	7.495000	31	1
5	-2	0.440000	6.647000	73	0
5	-6	0.960000	4.881000	28	1
9	-8	0.180000	6.034000	59	1
9	-4	0.620000	8.260000	40	1
7	-4	0.250000	8.378000	56	0
9	-3	0.730000	4.767000	39	1
9	-5	0.840000	8.974000	49	1
7	-5	0.770000	6.234000	70	1
5	-8	0.810000	5.363000	71	1
4	-6	0.530000	6.472000	21	0
9	-3	0.400000	6.155000	35	1
9	-5	0.010000	5.373000	44	1
3	-4	0.860000	4.125000	51	0
5	-4	0.990000	4.239000	27	1
6	-8	0.380000	4.853000	46	0
4	-4	0.970000	5.640000	50	1
7	-4	0.360000	8.737000	69	0
4	-7	0.840000	7.608000	52	1
9	-3	0.730000	5.692000	31	1
3	-2	0.430000	5.900000	55	0
5	-7	0.650000	4.521000	85	1
7	-2	0.860000	8.139000	76	1
7	-8	0.820000	8.798000	23	1
4	-8	0.600000	7.466000	21	0
8	-3	0.060000	8.116000	48	0
5	-3	0.260000	8.128000	22	0
5	-8	0.280000	8.868000	17	0
9	-5	0.800000	4.573000	52	1
5	-6	0.520000	8.212000	43	0
3	-6	0.710000	5.906000	67	1
10	-3	0.700000	5.005000	61	1
10	-3	0.580000	5.572000	80	1
5	-7	0.720000	5.714000	56	1
7	-6	0.020000	7.826000	61	0
5	-8	0.910000	5.701000	29	0
8	-5	0.200000	6.902000	28	0
3	-8	0.570000	8.879000	70	0
8	-2	0.790000	7.509000	61	1
5	-4	0.890000	4.213000	30	1
5	-2	0.610000	5.341000	61	1
5	-1	0.660000	4.489000	22	0
6	-7	0.770000	6.201000	32	1
9	-8	0.980000	4.807000	22	1
3	-6	0.090000	6.516000	72	0
3	-8	0.810000	7.636000	23	0
7	-2	0.530000	8.751000	13	0
9	-5	0.270000	8.099000	39	1
8	-4	0.200000	5.331000	20	0
9	-7	0.070000	7.325000	62	0
8	-3	0.570000	4.427000	40	1
4	-2	0.430000	5.691000	47	0
7	-8	0.380000	6.320000	73	0
5	-4	0.950000	6.219000	31	1
5	-7	0.250000	8.310000	76	0
7	-7	0.190000	8.068000	57	0
8	-2	0.170000	4.445000	39	0
5	-8	0.950000	5.429000	27	1
5	-8	0.340000	8.504000	86	0
4	-1	0.370000	4.255000	82	0
6	-2	0.230000	6.420000	14	0
5	-8	0.240000	6.230000	83	0
10	-4	0.170000	5.951000	64	1
9	-6	0.390000	7.105000	55	0
8	-3	0.820000	6.621000	65	1
4	-6	0.520000	4.333000	89	0
10	-5	0.480000	7.481000	36	1
10	-4	0.780000	4.604000	81	1
6	-5	1.000000	8.200000	32	1
10	-3	0.220000	4.322000	22	1
3	-6	0.020000	6.439000	27	0
6	-4	0.730000	7.523000	17	1
10	-4	0.780000	4.209000	59	1
8	-7	0.670000	7.270000	78	1
6	-4	0.960000	8.487000	37	1
6	-8	0.090000	8.605000	13	0
7	-6	0.590000	8.430000	82	1
4	-4	0.950000	5.554000	54	1
5	-4	0.350000	6.181000	34	0
6	-2	0.460000	5.369000	84	0
7	-6	0.130000	7.161000	62	0
5	-4	0.020000	7.553000	30	0
8	-6	0.370000	6.327000	37	0
4	-2	0.090000	7.232000	16	0
5	-2	0.380000	8.434000	15	0
4	-3	0.400000	6.656000	50	0
8	-8	0.760000	8.803000	22	0
4	-3	0.740000	7.692000	45	1
8	-6	0.550000	4.775000	50	1
5	-1	0.740000	7.478000	74	1
9	-1	0.530000	6.179000	73	1
5	-3	0.250000	7.310000	63	0
3	-1	0.360000	4.013000	73	0
3	-7	0.080000	5.139000	64	0
6	-7	0.700000	5.251000	79	1
6	-8	0.340000	7.910000	56	0
3	-5	0.100000	5.681000	88	0
6	-3	0.310000	4.287000	78	0
8	-8	0.580000	7.069000	71	1
6	-3	0.690000	8.757000	80	1
10	-5	0.650000	6.940000	68	1
10	-8	0.690000	6.080000	69	1
10	-4	0.080000	6.650000	48	1
10	-1	0.210000	6.770000	24	1
8	-2	0.160000	7.245000	41	0
6	-4	0.950000	8.243000	28	1
5	-5	0.670000	4.365000	59	1
7	-6	0.800000	6.986000	35	1
5	-4	0.760000	5.174000	62	1
8	-2	0.970000	6.270000	53	1
6	-4	0.840000	8.452000	26	0
9	-7	0.280000	5.670000	46	1
5	-8	0.300000	6.404000	82	1
9	-6	0.520000	7.523000	32	1
6	-2	0.650000	5.164000	48	0
5	-8	0.000e+000	8.927000	55	0
9	-8	0.430000	6.159000	36	0
6	-8	0.540000	5.172000	35	0
5	-7	0.890000	6.400000	41	1
5	-8	0.610000	5.025000	72	1
9	-6	0.830000	6.158000	62	1
7	-8	0.050000	4.775000	13	0
10	-3	0.020000	8.661000	35	0
9	-7	0.420000	6.352000	72	1
3	-3	0.700000	5.044000	71	0
3	-1	0.420000	6.192000	22	0
5	-3	0.640000	4.807000	52	0
6	-6	0.330000	7.497000	36	0
7	-2	0.510000	4.268000	54	0
8	-8	0.250000	8.604000	40	0
4	-5	0.210000	4.097000	17	0
5	-6	0.580000	6.259000	29	0
5	-2	0.770000	6.452000	13	0
8	-4	0.960000	6.625000	77	1
8	-2	0.830000	8.801000	50	1
9	-6	0.860000	4.538000	46	1
9	-8	0.320000	5.223000	33	0
5	-2	0.750000	4.741000	83	0
4	-2	0.950000	7.439000	67	1
7	-2	0.340000	5.535000	86	0
9	-4	0.080000	4.872000	72	0
7	-7	0.840000	4.947000	53	1
5	-5	0.790000	5.590000	40	1
4	-5	0.610000	7.736000	86	1
3	-5	0.990000	5.803000	65	1
4	-6	0.970000	7.383000	18	1
5	-6	0.860000	7.951000	77	1
8	-5	0.170000	5.096000	43	0
4	-1	0.630000	5.560000	19	0
10	-4	0.090000	6.222000	86	1
4	-7	0.130000	7.853000	88	0
9	-8	0.990000	5.008000	20	1
4	-8	0.780000	6.215000	19	1
5	-2	0.760000	5.288000	53	0
10	-5	0.450000	5.473000	77	1
5	-3	0.670000	4.114000	68	1
4	-3	0.310000	6.751000	44	0
3	-4	0.170000	8.910000	16	0
4	-1	0.810000	4.044000	73	1
5	-2	0.940000	6.682000	89	1
6	-5	0.740000	6.287000	14	0
